id,region,sec_uid,unique_id,nickname,signature,avatar,verified,secret,aweme_count,following_count,follower_count,favoriting_count,total_favorited,ins_id,youtube_channel_title,youtube_channel_id,twitter_name,twitter_id,author_id
7389507486140695594,US,MS4wLjABAAAAoOmktpD-OOLDSVu9UxGtBeGo-OJ9oNyYBMW1L9-CneYpiGrdg64MdN_ECQgLVl_s,hunter25450,hunter25450,,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/17bbb952e2f2739b09c38b331c570c3c~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=3ac5472e&x-expires=1748404800&x-signature=0Io01%2BtVgRN6xBunpEZyBdmDUHI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,True,0,120,22,0,0,,,,,,6993899054099432453
7502622403048490027,US,MS4wLjABAAAAPwYLjzOcd0qA2UyRSdupUk7WewOAVV3_lnsI9oBI9sgp4-YEd7CCTJWQL14cmnhV,ellz.vent22,💗🕊️,,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/bcdbf890a2596eeaf7257cb361388520~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=14f7bbd6&x-expires=1748404800&x-signature=GkFnFekmzkaObVe3kz98yL%2BwGXw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,True,0,20,9,0,143,,,,,,6993899054099432453
7043139472124691462,US,MS4wLjABAAAAOCe8IynzzAkHgRBx6C6SqWFIX_Uqibx-tXGulQqHGcCZDjwXkf7kw98mfbSEAwgu,5sosoph,Soph ☮️,"I love music
🌞♐️🧘🏼‍♀️🫶🏻🪴✌🏻💙🍉🦜🌎",https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/3d6c0b05bcd4b1fd0d0e5a8ef08693a9~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=ac85388e&x-expires=1748404800&x-signature=gkWnjGUEJzny3AaetsSJjttLZ9M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,False,1,295,172,71927,1355,,,,,,6993899054099432453
7219456283694040070,GB,MS4wLjABAAAAWAhTodQoBkjOYHjTQoNAl7adGlZIFGYHbbD644nFyd56Ip7VRZr5ZevvKymmPsuT,arianaxsaleem,🍥𝐀𝐫𝐢𝐚𝐧𝐚 🎀🐰,,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/d688ed4618c90fec1622330dffcd001a~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=172c219d&x-expires=1748404800&x-signature=2H%2FKURgJnyojFMJ1b2voW7NfVJI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,True,0,303,50,0,17,,,,,,6993899054099432453
7449124051387843617,IT,MS4wLjABAAAAR8PAL-qZeXhc5BPKjqfL5PeMvDW7TEIYmBLzVN7VJagNS5t3JWMYxoQdwbErzL5e,marcox56,Marcox,,https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/38ba80029877eae0f395691e29be1da2~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=d751c0cf&x-expires=1748404800&x-signature=tcQLi5Nh4bBaHsAselNa2ScbwDk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,True,0,393,0,0,0,,,,,,6993899054099432453
7364050118368134176,BE,MS4wLjABAAAA2zALkm2yUHPRx2gUPehQTmsHlP6-7eIuNgmBYqUmB9AYtqLpKDs6YbzLiec-kk3M,blomrt0,blomrt0,"I will follow you back 
I promise",https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/fface046131487a0ff2e63c6a3a202fd~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=7186ea77&x-expires=1748404800&x-signature=i9ApPIfE70K8hVJQr6tuWMi5m%2Fo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,False,0,901,393,444,215,,,,,,6993899054099432453
6977913291654579206,US,MS4wLjABAAAANNtkfyeK9-yGu_Vcf56Z_sy9pTm80ZTxUwI418xNENeoYhilGYKpRF8qXqsqEtzk,dewy.flwr,alyssa💗,🌸,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/800fec71997eb48243e1816c3aa9d52b~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=c0504ea1&x-expires=1748404800&x-signature=7jo%2FztapkmzRFpO87DCeoSS8thQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,False,0,2976,316,56481,203,,,,,,6993899054099432453
7444727048184022058,US,MS4wLjABAAAAZ-7BLI_gdStusoE8YdnjwISs0S2OgevReQSEloT7hXGBDvi0iqFpRKSlkk-N8qqg,matthew.kinda.secret_acc,✞Matthew✞,,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9bdc71cbea1a0163195792b69afab6b8~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=95fd49ea&x-expires=1748404800&x-signature=nupMXMsihFgTenWrfEuBVK5hD0E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,True,0,1374,49,0,42,,,,,,6993899054099432453
7130652818466489349,CA,MS4wLjABAAAAy27nIs6zt_LflyZcbm4mnTa6NHRDyLqU2mDJUogtalL7Y6gS_qWgmnwMNonQIUZL,charlotte_bulmer,Charlotte,hi,https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/f9366fdbf90f4b8e569aa05f31668831~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=808a05ee&x-expires=1748404800&x-signature=9MuDxf690H0Ap%2FA45ELMl78PGQ8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,False,7,1185,310,20192,1622,,,,,,6993899054099432453
6823991105294484486,MX,MS4wLjABAAAAyur60gxW8grJZnfIL8MPPeAHX5F5OElHyyZ2eJdbzcicdUHRZ0KQ0vIruHmN-d9s,zitaarevalo,Zita Arevalo,este 2025 solo mis hijos y yo saldremos adelante,https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/bbe04d948e8c21af827fa820ef9fff24~tplv-tiktokx-cropcenter:300:300.jpeg?dr=9638&refresh_token=5feb10e2&x-expires=1748404800&x-signature=S%2Bk%2F1q5ALqOCZEDlzQvLRHuS2is%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=65db1d19&idc=useast5,False,False,676,4443,1159,10529,5153,,,,,,6993899054099432453
